Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
TX Gas Stochastic File			Data_Type	2000-01-01	2100-01-01	File							
TX Gas Stochastic File			Location	2000-01-01	2100-01-01	/Variables/Fuels/Gas Stochastic.txt							
TX Gas Stochastic File			Location_Type	2000-01-01	2100-01-01	Relative							
US Biomass			Value	2000-01-01	2100-01-01	Fuel Price File							
US CO2			Price	2000-01-01	2100-01-01	Fuel Price File							
US Lignite			Value	2000-01-01	2100-01-01	Fuel Price File							
US LSFO			Value	2000-01-01	2100-01-01	Fuel Price File							
US Uranium			Value	2000-01-01	2100-01-01	Fuel Price File							
USD	USD	EUR	fx_rate	2000-01-01	2100-01-01	1.3							
windspeed_coefficient			Value	2000-01-01	2100-01-01	0.902214346							
windspeed_constant			Value	2000-01-01	2100-01-01	0.135929529							
