Object_Name	Object_Type
JAPAN Offshore 100m 840 42.5 145.625 TS	DBTimeSeries
JAPAN Offshore 100m 846 42.0 140.0 WSc	Variable
JAPAN Offshore 100m 846 42.0 140.0 Base Wind Speed	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M Generator LWST	Generator
JAPAN Offshore 100m 846 42.0 140.0 100M Generator LWST Hub Height	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M Generator LWST CRF	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M Generator NWST	Generator
JAPAN Offshore 100m 846 42.0 140.0 100M Generator NWST Hub Height	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M Generator NWST CRF	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M Generator HWST	Generator
JAPAN Offshore 100m 846 42.0 140.0 100M Generator HWST Hub Height	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M Generator HWST CRF	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M Windspeed	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M HHxWS	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M HHxWSc	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M HHc	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M WSc	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M HHxWSc+HHc	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M HHxWSc+HHc+WSc	Variable
JAPAN Offshore 100m 846 42.0 140.0 100M HHxWSc+HHc+WSc+C	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M Generator LWST	Generator
JAPAN Offshore 100m 846 42.0 140.0 130M Generator LWST Hub Height	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M Generator LWST CRF	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M Generator NWST	Generator
JAPAN Offshore 100m 846 42.0 140.0 130M Generator NWST Hub Height	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M Generator NWST CRF	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M Generator HWST	Generator
JAPAN Offshore 100m 846 42.0 140.0 130M Generator HWST Hub Height	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M Generator HWST CRF	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M Windspeed	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M HHxWS	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M HHxWSc	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M HHc	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M WSc	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M HHxWSc+HHc	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M HHxWSc+HHc+WSc	Variable
JAPAN Offshore 100m 846 42.0 140.0 130M HHxWSc+HHc+WSc+C	Variable
JAPAN Offshore 100m 846 42.0 140.0 160M Generator LWST	Generator
